round,date,time,Home Team,Away Team
Matchday 1,2024-08-15,19:00,Ath Bilbao,Getafe
Matchday 1,2024-08-15,21:30,Betis,Girona
Matchday 1,2024-08-16,19:00,Celta,Alaves
Matchday 1,2024-08-16,21:30,Las Palmas,Sevilla
Matchday 1,2024-08-17,19:00,Osasuna,Leganes
Matchday 1,2024-08-17,21:30,Valencia,Barcelona
Matchday 1,2024-08-18,19:00,Sociedad,Vallecano
Matchday 1,2024-08-18,21:30,Mallorca,Real Madrid
Matchday 1,2024-08-19,19:00,Valladolid,Espanol
Matchday 1,2024-08-19,21:30,Villarreal,Ath Madrid
Matchday 2,2024-08-23,19:00,Celta,Valencia
Matchday 2,2024-08-23,21:30,Sevilla,Villarreal
Matchday 2,2024-08-24,17:00,Osasuna,Mallorca
Matchday 2,2024-08-24,19:00,Barcelona,Ath Bilbao
Matchday 2,2024-08-24,21:30,Getafe,Vallecano
Matchday 2,2024-08-24,21:30,Espanol,Sociedad
Matchday 2,2024-08-25,17:00,Real Madrid,Valladolid
Matchday 2,2024-08-25,19:00,Leganes,Las Palmas
Matchday 2,2024-08-25,19:15,Alaves,Betis
Matchday 2,2024-08-25,21:30,Ath Madrid,Girona
Matchday 3,2024-08-26,21:30,Villarreal,Celta
Matchday 3,2024-08-27,19:00,Mallorca,Sevilla
Matchday 3,2024-08-27,21:30,Vallecano,Barcelona
Matchday 3,2024-08-28,19:00,Ath Bilbao,Valencia
Matchday 3,2024-08-28,19:00,Valladolid,Leganes
Matchday 3,2024-08-28,21:30,Sociedad,Alaves
Matchday 3,2024-08-28,21:30,Ath Madrid,Espanol
Matchday 3,2024-08-29,19:00,Girona,Osasuna
Matchday 3,2024-08-29,21:30,Las Palmas,Real Madrid
Matchday 4,2024-08-31,17:00,Barcelona,Valladolid
Matchday 4,2024-08-31,19:00,Ath Bilbao,Ath Madrid
Matchday 4,2024-08-31,19:15,Espanol,Vallecano
Matchday 4,2024-08-31,21:30,Leganes,Mallorca
Matchday 4,2024-08-31,21:30,Valencia,Villarreal
Matchday 4,2024-09-01,17:00,Osasuna,Celta
Matchday 4,2024-09-01,17:00,Alaves,Las Palmas
Matchday 4,2024-09-01,19:00,Sevilla,Girona
Matchday 4,2024-09-01,19:15,Getafe,Sociedad
Matchday 4,2024-09-01,21:30,Real Madrid,Betis
Matchday 5,2024-09-13,21:00,Betis,Leganes
Matchday 5,2024-09-14,14:00,Mallorca,Villarreal
Matchday 5,2024-09-14,16:15,Espanol,Alaves
Matchday 5,2024-09-14,18:30,Sevilla,Getafe
Matchday 5,2024-09-14,21:00,Sociedad,Real Madrid
Matchday 5,2024-09-15,14:00,Celta,Valladolid
Matchday 5,2024-09-15,16:15,Girona,Barcelona
Matchday 5,2024-09-15,18:30,Las Palmas,Ath Bilbao
Matchday 5,2024-09-15,21:00,Ath Madrid,Valencia
Matchday 5,2024-09-16,21:00,Vallecano,Osasuna
Matchday 7,2024-09-17,19:00,Mallorca,Sociedad
Matchday 3,2024-09-18,19:00,Betis,Getafe
Matchday 7,2024-09-19,19:00,Leganes,Ath Bilbao
Matchday 6,2024-09-20,21:00,Alaves,Sevilla
Matchday 6,2024-09-21,14:00,Valladolid,Sociedad
Matchday 6,2024-09-21,16:15,Osasuna,Las Palmas
Matchday 6,2024-09-21,18:30,Valencia,Girona
Matchday 6,2024-09-21,21:00,Real Madrid,Espanol
Matchday 6,2024-09-22,14:00,Getafe,Leganes
Matchday 6,2024-09-22,16:15,Ath Bilbao,Celta
Matchday 6,2024-09-22,18:30,Villarreal,Barcelona
Matchday 6,2024-09-22,21:00,Vallecano,Ath Madrid
Matchday 6,2024-09-23,21:00,Betis,Mallorca
Matchday 7,2024-09-24,19:00,Sevilla,Valladolid
Matchday 7,2024-09-24,19:00,Valencia,Osasuna
Matchday 7,2024-09-24,21:00,Real Madrid,Alaves
Matchday 7,2024-09-25,19:00,Girona,Vallecano
Matchday 7,2024-09-25,21:00,Barcelona,Getafe
Matchday 7,2024-09-26,19:00,Las Palmas,Betis
Matchday 7,2024-09-26,19:00,Espanol,Villarreal
Matchday 7,2024-09-26,21:00,Celta,Ath Madrid
Matchday 8,2024-09-27,21:00,Valladolid,Mallorca
Matchday 8,2024-09-28,14:00,Getafe,Alaves
Matchday 8,2024-09-28,16:15,Vallecano,Leganes
Matchday 8,2024-09-28,18:30,Sociedad,Valencia
Matchday 8,2024-09-28,21:00,Osasuna,Barcelona
Matchday 8,2024-09-29,14:00,Celta,Girona
Matchday 8,2024-09-29,16:15,Ath Bilbao,Sevilla
Matchday 8,2024-09-29,18:30,Betis,Espanol
Matchday 8,2024-09-29,21:00,Ath Madrid,Real Madrid
Matchday 8,2024-09-30,21:00,Villarreal,Las Palmas
Matchday 9,2024-10-04,21:00,Leganes,Valencia
Matchday 9,2024-10-05,14:00,Espanol,Mallorca
Matchday 9,2024-10-05,16:15,Getafe,Osasuna
Matchday 9,2024-10-05,18:30,Valladolid,Vallecano
Matchday 9,2024-10-05,18:30,Las Palmas,Celta
Matchday 9,2024-10-05,21:00,Real Madrid,Villarreal
Matchday 9,2024-10-06,14:00,Girona,Ath Bilbao
Matchday 9,2024-10-06,16:15,Alaves,Barcelona
Matchday 9,2024-10-06,18:30,Sevilla,Betis
Matchday 9,2024-10-06,21:00,Sociedad,Ath Madrid
Matchday 10,2024-10-18,21:00,Alaves,Valladolid
Matchday 10,2024-10-19,14:00,Ath Bilbao,Espanol
Matchday 10,2024-10-19,16:15,Osasuna,Betis
